id,subcategory_id,name,price,stock_quantity,unit,sku,barcode,description,quality,status,recommendation_date,reviewed_by,review_date,recommendation_source
1,1,Navel Oranges,10.58,6,bottle,SKU-000001,1043321819608,High quality navel oranges available in our store,good,approved,,,,
2,1,Valencia Oranges,12.04,139,lb,SKU-000002,133890838634,High quality valencia oranges available in our store,good,approved,,,,
3,1,Blood Oranges,2.4,59,box,SKU-000003,7940265423516,High quality blood oranges available in our store,neutral,approved,,,,
4,1,Mandarin Oranges,11.73,139,bag,SKU-000004,1615594078169,High quality mandarin oranges available in our store,neutral,approved,,,,
5,1,Meyer Lemons,13.13,1,pack,SKU-000005,1849593103410,High quality meyer lemons available in our store,neutral,approved,,,,
6,1,Eureka Lemons,6.09,39,each,SKU-000006,3164752553416,High quality eureka lemons available in our store,good,approved,,,,
7,1,Persian Limes,2.38,24,oz,SKU-000007,9283276483505,High quality persian limes available in our store,neutral,approved,,,,
8,1,Key Limes,13.1,117,box,SKU-000008,3056413953768,High quality key limes available in our store,poor,approved,,,,
9,1,Ruby Red Grapefruit,2.17,75,pack,SKU-000009,7242388496966,High quality ruby red grapefruit available in our store,poor,approved,,,,
10,1,White Grapefruit,6.41,49,bottle,SKU-000010,5328710122696,High quality white grapefruit available in our store,neutral,approved,,,,
11,1,Pink Grapefruit,12.59,20,pack,SKU-000011,1669784801846,High quality pink grapefruit available in our store,good,approved,,,,
12,1,Organic Navel Oranges,8.16,93,each,SKU-000012,5146270482810,High quality organic navel oranges available in our store,good,approved,,,,
13,1,Premium Navel Oranges,8.8,18,box,SKU-000013,4893252880959,High quality premium navel oranges available in our store,neutral,approved,,,,
14,1,Navel Oranges - Family Size,8.5,69,bottle,SKU-000014,7015430391171,High quality navel oranges - family size available in our store,good,approved,,,,
15,1,Navel Oranges - Single Serve,5.85,14,each,SKU-000015,1822782489632,High quality navel oranges - single serve available in our store,neutral,approved,,,,
16,1,Organic Valencia Oranges,8.69,145,bottle,SKU-000016,8346578713310,High quality organic valencia oranges available in our store,neutral,approved,,,,
17,1,Premium Valencia Oranges,12.11,117,each,SKU-000017,5098393010312,High quality premium valencia oranges available in our store,good,approved,,,,
18,1,Valencia Oranges - Family Size,15.85,149,bag,SKU-000018,518347382999,High quality valencia oranges - family size available in our store,good,approved,,,,
19,1,Valencia Oranges - Single Serve,4.28,35,box,SKU-000019,7376311656674,High quality valencia oranges - single serve available in our store,neutral,approved,,,,
20,1,Organic Blood Oranges,17.96,40,pack,SKU-000020,106513338729,High quality organic blood oranges available in our store,neutral,approved,,,,
21,1,Premium Blood Oranges,10.53,119,box,SKU-000021,6247317810807,High quality premium blood oranges available in our store,neutral,approved,,,,
22,1,Blood Oranges - Family Size,29.89,29,bottle,SKU-000022,1326773602609,High quality blood oranges - family size available in our store,neutral,approved,,,,
23,1,Blood Oranges - Single Serve,12.52,87,lb,SKU-000023,6474687234302,High quality blood oranges - single serve available in our store,good,approved,,,,
24,2,Strawberries,1.04,67,box,SKU-000024,9805009788208,High quality strawberries available in our store,neutral,approved,,,,
25,2,Blueberries,2.59,76,pack,SKU-000025,8121913619393,High quality blueberries available in our store,neutral,approved,,,,
26,2,Raspberries,3.28,41,box,SKU-000026,9091699854358,High quality raspberries available in our store,poor,approved,,,,
27,2,Blackberries,14.77,0,bag,SKU-000027,3462475107993,High quality blackberries available in our store,poor,approved,,,,
28,2,Cranberries,14.17,78,each,SKU-000028,1183842513545,High quality cranberries available in our store,poor,approved,,,,
29,2,Gooseberries,15.19,21,bottle,SKU-000029,2784980841249,High quality gooseberries available in our store,good,approved,,,,
30,2,Elderberries,12.4,32,each,SKU-000030,1182449353486,High quality elderberries available in our store,poor,approved,,,,
31,2,Mulberries,3.47,135,pack,SKU-000031,7401640052429,High quality mulberries available in our store,poor,approved,,,,
32,2,Organic Strawberries,24.67,51,bottle,SKU-000032,7868011280599,High quality organic strawberries available in our store,poor,approved,,,,
33,2,Wild Blueberries,10.74,112,box,SKU-000033,8262045053317,High quality wild blueberries available in our store,good,approved,,,,
34,2,Golden Raspberries,1.95,5,box,SKU-000034,5869232260256,High quality golden raspberries available in our store,neutral,approved,,,,
