id,subcategory_id,name,price,stock_quantity,unit,sku,barcode,description,quality
1,1,Navel Oranges,10.58,6,bottle,SKU-000001,1043321819608,High quality navel oranges available in our store,good
2,1,Valencia Oranges,12.04,139,lb,SKU-000002,0133890838634,High quality valencia oranges available in our store,good
3,1,Blood Oranges,2.4,59,box,SKU-000003,7940265423516,High quality blood oranges available in our store,neutral
4,1,Mandarin Oranges,11.73,139,bag,SKU-000004,1615594078169,High quality mandarin oranges available in our store,neutral
5,1,Meyer Lemons,13.13,1,pack,SKU-000005,1849593103410,High quality meyer lemons available in our store,neutral
6,1,Eureka Lemons,6.09,39,each,SKU-000006,3164752553416,High quality eureka lemons available in our store,good
7,1,Persian Limes,2.38,24,oz,SKU-000007,9283276483505,High quality persian limes available in our store,neutral
8,1,Key Limes,13.1,117,box,SKU-000008,3056413953768,High quality key limes available in our store,poor
9,1,Ruby Red Grapefruit,2.17,75,pack,SKU-000009,7242388496966,High quality ruby red grapefruit available in our store,poor
10,1,White Grapefruit,6.41,49,bottle,SKU-000010,5328710122696,High quality white grapefruit available in our store,neutral
11,1,Pink Grapefruit,12.59,20,pack,SKU-000011,1669784801846,High quality pink grapefruit available in our store,good
12,1,Organic Navel Oranges,8.16,93,each,SKU-000012,5146270482810,High quality organic navel oranges available in our store,good
13,1,Premium Navel Oranges,8.8,18,box,SKU-000013,4893252880959,High quality premium navel oranges available in our store,neutral
14,1,Navel Oranges - Family Size,8.5,69,bottle,SKU-000014,7015430391171,High quality navel oranges - family size available in our store,good
15,1,Navel Oranges - Single Serve,5.85,14,each,SKU-000015,1822782489632,High quality navel oranges - single serve available in our store,neutral
16,1,Organic Valencia Oranges,8.69,145,bottle,SKU-000016,8346578713310,High quality organic valencia oranges available in our store,neutral
17,1,Premium Valencia Oranges,12.11,117,each,SKU-000017,5098393010312,High quality premium valencia oranges available in our store,good
18,1,Valencia Oranges - Family Size,15.85,149,bag,SKU-000018,0518347382999,High quality valencia oranges - family size available in our store,good
19,1,Valencia Oranges - Single Serve,4.28,35,box,SKU-000019,7376311656674,High quality valencia oranges - single serve available in our store,neutral
20,1,Organic Blood Oranges,17.96,40,pack,SKU-000020,0106513338729,High quality organic blood oranges available in our store,neutral
21,1,Premium Blood Oranges,10.53,119,box,SKU-000021,6247317810807,High quality premium blood oranges available in our store,neutral
22,1,Blood Oranges - Family Size,29.89,29,bottle,SKU-000022,1326773602609,High quality blood oranges - family size available in our store,neutral
23,1,Blood Oranges - Single Serve,12.52,87,lb,SKU-000023,6474687234302,High quality blood oranges - single serve available in our store,good
24,2,Strawberries,1.04,67,box,SKU-000024,9805009788208,High quality strawberries available in our store,neutral
25,2,Blueberries,2.59,76,pack,SKU-000025,8121913619393,High quality blueberries available in our store,neutral
26,2,Raspberries,3.28,41,box,SKU-000026,9091699854358,High quality raspberries available in our store,poor
27,2,Blackberries,14.77,0,bag,SKU-000027,3462475107993,High quality blackberries available in our store,poor
28,2,Cranberries,14.17,78,each,SKU-000028,1183842513545,High quality cranberries available in our store,poor
29,2,Gooseberries,15.19,21,bottle,SKU-000029,2784980841249,High quality gooseberries available in our store,good
30,2,Elderberries,12.4,32,each,SKU-000030,1182449353486,High quality elderberries available in our store,poor
31,2,Mulberries,3.47,135,pack,SKU-000031,7401640052429,High quality mulberries available in our store,poor
32,2,Organic Strawberries,24.67,51,bottle,SKU-000032,7868011280599,High quality organic strawberries available in our store,poor
33,2,Wild Blueberries,10.74,112,box,SKU-000033,8262045053317,High quality wild blueberries available in our store,good
34,2,Golden Raspberries,1.95,5,box,SKU-000034,5869232260256,High quality golden raspberries available in our store,neutral
35,2,Organic Strawberries,1.78,15,each,SKU-000035,6342160733751,High quality organic strawberries available in our store,good
36,2,Premium Strawberries,8.97,71,bottle,SKU-000036,4330365414584,High quality premium strawberries available in our store,neutral
37,2,Strawberries - Family Size,25.07,147,bag,SKU-000037,6850142940191,High quality strawberries - family size available in our store,good
38,2,Strawberries - Single Serve,7.1,24,lb,SKU-000038,6556981693402,High quality strawberries - single serve available in our store,good
39,2,Organic Blueberries,12.3,13,bottle,SKU-000039,6088356159515,High quality organic blueberries available in our store,neutral
40,2,Premium Blueberries,3.11,27,each,SKU-000040,4846564823664,High quality premium blueberries available in our store,neutral
41,2,Blueberries - Family Size,5.04,118,each,SKU-000041,2994680443692,High quality blueberries - family size available in our store,good
42,2,Blueberries - Single Serve,13.11,140,lb,SKU-000042,9577738721480,High quality blueberries - single serve available in our store,poor
43,2,Organic Raspberries,24.1,60,each,SKU-000043,9513433200370,High quality organic raspberries available in our store,good
44,2,Premium Raspberries,24.31,0,bag,SKU-000044,9176936763201,High quality premium raspberries available in our store,good
45,2,Raspberries - Family Size,30.51,73,bag,SKU-000045,1632870831720,High quality raspberries - family size available in our store,neutral
46,2,Raspberries - Single Serve,12.74,124,each,SKU-000046,7889579868722,High quality raspberries - single serve available in our store,good
47,3,Pineapples,1.87,138,lb,SKU-000047,7743487347147,High quality pineapples available in our store,good
48,3,Mangoes,9.75,128,pack,SKU-000048,3455812236234,High quality mangoes available in our store,good
49,3,Papayas,8.61,47,lb,SKU-000049,1665876036691,High quality papayas available in our store,neutral
50,3,Passion Fruit,4.52,30,box,SKU-000050,0967054668894,High quality passion fruit available in our store,neutral
51,3,Dragon Fruit,10.28,107,bottle,SKU-000051,3734670656270,High quality dragon fruit available in our store,neutral
52,3,Kiwi,15.01,52,bottle,SKU-000052,2980699016279,High quality kiwi available in our store,good
